"Frage","Antwort1","Antwort2","Antwort3","Antwort4"
"Frage 1: Welche Funktionskategorien müssen Organismen zum Überleben beherrschen?","Antwort 1.1: Ernährungsfunktionen, Beziehungsfunktionen, Fortpflanzungsfunktion","Antwort 1.2: Ernährungsfunktionen, Verdauungsfunktion, Muskelfunktion","Antwort 1.3: Knochenfunktion, Atmungsfunktion, Muskelfunktion","Antwort 1.4: Beziehungsfunktionen, Knochenfunktion, Atmungsfunktion"
"Frage 2: Welche der folgenden Aussagen in Bezug auf Pflanzenbewegungen ist richtig?","Antwort 2.1: Passive Bewegungen werden von Pflanzen oder deren Teilen ausgelöst und verbrauchen Energie.","Antwort 2.2: Die Hauptkategorien der aktiven Bewegungen sind Tropismen, Nastien und Taktismen.","Antwort 2.3: Die Hauptkategorien der passiven Bewegungen sind Phototropismus, Geotropismus und Hydrotropismus.","Antwort 2.4: Aktive Bewegungen werden durch physikalische Mechanismen und Umweltfaktoren bestimmt."
"Frage 3: Wegen des Geotropismus","Antwort 3.1: richten sich Blätter zum Licht aus","Antwort 3.2: richtet sich die Wurzel zum Erdmittelpunkt aus","Antwort 3.3: suchen Wurzeln nach wasserreichen Bodenzonen","Antwort 3.4: suchen Wurzeln nach mineralstoffreicheren Bodenzonen"
"Frage 4: Bewegungen bei Tropismen sind","Antwort 4.1: passiv","Antwort 4.2: aktiv","Antwort 4.3: aktiv und passiv","Antwort 4.4: weder aktiv noch passiv"
"Frage 5: Welche der folgenden Aussagen in Klassifizierung des Nervensystems ist richtig?","Antwort 5.1: Das Nervensystem kann nach Lage in somatisches und vegetatives eingeteilt weden.","Antwort 5.2: Das Nervensystem kann nach Rolle in Zentralnervensystem und peripheres Nervensystem eingeteilt weden.","Antwort 5.3: Das Nervensystem kann nach Rolle in somatisches und vegetatives eingeteilt weden.","Antwort 5.4: Das Nervensystem kann nach Lage in peripheres und vegetatives eingeteilt weden."
"Frage 6: Die Organe des Nervensystems bestehen nicht aus","Antwort 6.1: Nervengewebe","Antwort 6.2: Blutgefäßen","Antwort 6.3: weichem Bindegewebe","Antwort 6.4: Knochengewebe"
"Frage 7: Gliazellen spielen keine Rolle","Antwort 7.1: beim Stützen der Neuronen","Antwort 7.2: beim Ernähren der Neuronen","Antwort 7.3: bei der Erzeugung der Nervenimpulse","Antwort 7.4: bei der Myelinproduktion"
"Frage 8: Das Neuron kann haben","Antwort 8.1: mehrere Zellkörper","Antwort 8.2: mehrere Dendriten","Antwort 8.3: mehrere Axone","Antwort 8.4: einen kernlosen Zellkörper"
"Frage 9: Die Dendriten","Antwort 9.1: sind in der Regel weniger häufig als Axone","Antwort 9.2: leiten Nervenimpulse zum Zellkörper","Antwort 9.3: haben oft Schutzhüllen","Antwort 9.4: haben Endverästelungen mit chemischen Botenstoffen"
"Frage 10: Das Axon","Antwort 10.1: leitet Nervenimpulse zum Zellkörper","Antwort 10.2: kann unterschiedliche Schutzhüllen haben","Antwort 10.3: fehlt bei den sensitiven Neuronen","Antwort 10.4: gibt es nur im Zentralnervensystem"
"Frage 11: Das ZNS","Antwort 11.1: befindet sich im Inneren einer knöchernen Struktur","Antwort 11.2: wird von der Hirnhaut geschützt","Antwort 11.3: ist vom Liquor umgeben","Antwort 11.4: alle Varianten sind richtig"
"Frage 12: Zur Lage der Organe des ZNS ist richtig","Antwort 12.1: das Kleinhirn liegt hinter dem Rückenmark","Antwort 12.2: der Hirnstamm liegt vor dem Kleinhirn","Antwort 12.3: das Rückenmark befindet sich über dem Hirnstamm","Antwort 12.4: das Großhirn ist unterhalb des Kleinhirns"
"Frage 13: Über den äußeren Aufbau des ZNS stimmt","Antwort 13.1: das Großhirn besteht aus zwei völlig getrennten Gehirnhälften","Antwort 13.2: das Kleinhirn besteht aus zwei Kleinhirnhälften, die durch eine Längsspalte voneinander getrennt sind","Antwort 13.3: der Hirnstamm hat drei Abschnitte","Antwort 13.4: das Rückenmark hat fünf verdickte Abschnitte"
"Frage 14: Wähle die richtige Aussage:","Antwort 14.1: die Großhirnrinde hat eine Fläche von 1000 cm²","Antwort 14.2: die Kleinhirnrinde hat 2200 cm²","Antwort 14.3: die Großhirnrinde hat 16–18 Milliarden Neuronen","Antwort 14.4: die Kleinhirnrinde ist 2–4 mm dick"
"Frage 15: Wähle die richtige Aussage:","Antwort 15.1: die Kleinhirnrinde hat eine Fläche von 1000 cm²","Antwort 15.2: die Kleinhirnrinde hat 1800 cm²","Antwort 15.3: die Großhirnrinde ist 6–8 mm dick","Antwort 15.4: die Kleinhirnrinde ist 2–4 mm dick"
"Frage 16: Wähle die richtige Aussage:","Antwort 16.1: das menschliche Gehirn hat eine Masse von etwa 2400 Gramm","Antwort 16.2: die Kleinhirnrinde hat 2400 cm²","Antwort 16.3: die Großhirnrinde ist 8–10 mm dick","Antwort 16.4: das menschliche Gehirn hat eine Masse von etwa 1400 Gramm"
"Frage 17: Was ist die Hauptfunktion des Rückenmarks?","Antwort 17.1: Informationsverarbeitung","Antwort 17.2: Übertragung von Nervenimpulsen zwischen Körper und Gehirn","Antwort 17.3: Blutversorgung des Gehirns","Antwort 17.4: Hormonproduktion"
"Frage 18: Welche Art von Nerven enthält das periphere Nervensystem (PNS)?","Antwort 18.1: Sowohl sensorische als auch motorische Nerven","Antwort 18.2: Nur sensorische Nerven","Antwort 18.3: Nur motorische Nerven","Antwort 18.4: Interneuronen"
"Frage 19: Wie viele Hirnnervenpaare gibt es beim Menschen?","Antwort 19.1: 10","Antwort 19.2: 23","Antwort 19.3: 12","Antwort 19.4: 14"
"Frage 20: Welche Aussage über Rückenmarksnerven ist richtig?","Antwort 20.1: Verbinden ausschließlich das Gehirn mit dem Rückenmark","Antwort 20.2: Jedes Paar versorgt eine spezifische Körperregion","Antwort 20.3: Gibt es nur im Lendenbereich","Antwort 20.4: Übertragen nur motorische Signale"
"Frage 21: Was ist kein Bestandteil des Reflexbogens?","Antwort 21.1: Rezeptor","Antwort 21.2: Effektor","Antwort 21.3: Hirnrinde","Antwort 21.4: Reflexzentrum"
"Frage 22: Welche Funktion hat das Gehirn nicht?","Antwort 22.1: Synthese von Blutzellen","Antwort 22.2: Verarbeitung von Informationen","Antwort 22.3: Regulierung von Herzschlag und Atmung","Antwort 22.4: Empfinden von Schmerz"
"Frage 23: Wie wird das Rückenmark geschützt?","Antwort 23.1: Durch Muskeln","Antwort 23.2: Durch die Haut","Antwort 23.3: Durch die Wirbelsäule","Antwort 23.4: Durch Fettgewebe"
"Frage 24: Wofür sind die Hirnnerven hauptsächlich verantwortlich?","Antwort 24.1: Übertragung von Impulsen im Rückenmark","Antwort 24.2: Übermittlung von Informationen zwischen Gehirn und Teilen des Körpers","Antwort 24.3: Steuerung der Herzfunktion","Antwort 24.4: Regulierung der Körpertemperatur"
"Frage 25: Was charakterisiert das periphere Nervensystem im Vergleich zum Zentralnervensystem?","Antwort 25.1: Es ist komplett unabhängig vom ZNS","Antwort 25.2: Es umfasst Nerven außerhalb des Gehirns und Rückenmarks","Antwort 25.3: Es beinhaltet nur das Gehirn","Antwort 25.4: Es steuert nur die willkürlichen Bewegungen"
"Frage 26: Was ist eine Funktion des Reflexbogens?","Antwort 26.1: Langfristige Gedächtnisspeicherung","Antwort 26.2: Schnelle Reaktion auf Reize","Antwort 26.3: Bewusste Wahrnehmung von Emotionen","Antwort 26.4: Koordination von komplexen Bewegungen"
"Frage 27: Welches ist kein Bestandteil des Auges?","Antwort 27.1: Glaskörper","Antwort 27.2: Ziliarkörper","Antwort 27.3: Aderhaut","Antwort 27.4: Blauer Fleck"
"Frage 28: Was wandelt die Linse im Auge hauptsächlich um?","Antwort 28.1: Licht in elektrische Signale","Antwort 28.2: Lichtstrahlen in ein scharfes Bild","Antwort 28.3: Bilder in Farbempfindungen","Antwort 28.4: Blendung in Kontrast"
"Frage 29: Welche Aussage über den Augapfel ist falsch?","Antwort 29.1: Die Äußere Schicht besteht aus Hornhaut und Lederhaut.","Antwort 29.2: Die Mittlere Schicht besteht aus Iris, Ziliarkörper und Aderhaut","Antwort 29.3: Die Aderhaut liegt über der Lederhaut.","Antwort 29.4: Die Innere Schicht ist die Netzhaut."
"Frage 30: Welche der folgenden Aussagen ist richtig?","Antwort 30.1: Kurzsichtigkeit wird auch Myopie genannt.","Antwort 30.2: Weitsichtigkeit wird auch Presbyopie genannt.","Antwort 30.3: Alterssichtigkeit beginnt mit 30 Jahren.","Antwort 30.4: Schielen wird auch Hypermetropie genannt."
"Frage 31: Daltonismus (Rot-Grün-Blindheit)","Antwort 31.1: ist eine genetisch bedingte Krankheit","Antwort 31.2: tritt häufiger bei Frauen auf","Antwort 31.3: kann nicht vererbt werden","Antwort 31.4: äußert sich durch das Vorhandensein zu vieler roter Zäpfchen"
"Frage 32: Welches ist nicht Bestandteil des menschlichen Ohres?","Antwort 32.1: Ohrmuschel","Antwort 32.2: Hammer","Antwort 32.3: Amboss","Antwort 32.4: Unterohr"
"Frage 33: Welche der Aussagen ist falsch?","Antwort 33.1: Das Außenohr besteht aus Ohrmuschel und dem äußeren Gehörgang.","Antwort 33.2: Der äußere Gehörgang ist ca. 4 – 5 cm lang.","Antwort 33.3: Die Innenwand des Mittelohrs hat zwei mit Membranen bedeckte Öffnungen.","Antwort 33.4: Das Innenohr befindet sich im Schläfenbein als <<Labyrinth>> gestaltete Hohlräume."
"Frage 34: Was spielt bei der Geruchswahrnehmung eine Rolle?","Antwort 34.1: Nasenbein","Antwort 34.2: Nasenknorpel","Antwort 34.3: Riechschleimhaut","Antwort 34.4: Choanae"
"Frage 35: Welche der Aussagen ist richtig?","Antwort 35.1: Menschen sind Makrosmatiker mit 200 Millionen Geruchsrezeptoren.","Antwort 35.2: Eine Nasenscheidewandverkrümmung wird Perilymphe genannt.","Antwort 35.3: Der Mensch kann ungefähr 10 Primärgerüche unterscheiden.","Antwort 35.4: Der Mensch kann ungefähr 50 Primärgerüche unterscheiden, die in zehn Geruchsklassen unterteilt werden."
"Frage 36: Welcher Hautsinn ist nicht existent?","Antwort 36.1: Druck","Antwort 36.2: Temperatur","Antwort 36.3: Schmerz","Antwort 36.4: Magnetismus"
"Frage 37: Welches Augelement passt die Lichtintensität an?","Antwort 37.1: Linse","Antwort 37.2: Netzhaut","Antwort 37.3: Iris","Antwort 37.4: Sehnerv"
"Frage 38: Wo befindet sich das Gleichgewichtsorgan?","Antwort 33.1: Im Außenohr","Antwort 33.2: Im Innenohr","Antwort 33.3: In der Cochlea","Antwort 33.4: Im Mittelohr"
"Frage 39: Was ist die Hauptfunktion des Geruchssinns?","Antwort 39.1: Identifikation von Gefahren","Antwort 39.2: Wahrnehmung von Gerüchen","Antwort 39.3: Wärmeregulation","Antwort 39.4: Atmungsregulation"
"Frage 40: Welche Geschmacksrichtung wird typischerweise an der Zungenspitze wahrgenommen?","Antwort 40.1: Süß","Antwort 40.2: Bitter","Antwort 40.3: Sauer","Antwort 40.4: Salzig"
"Frage 41: Welcher Sinn ist nicht direkt mit der Haut verbunden?","Antwort 41.1: Tastsinn","Antwort 41.2: Thermosinn","Antwort 41.3: Gleichgewichtssinn","Antwort 41.4: Schmerzsinn"
"Frage 42: Welche Schicht gehört nicht zu den Hautschichten?","Antwort 42.1: Dermis","Antwort 42.2: Epidermis","Antwort 42.3: Hypodermis","Antwort 42.4: Endodermis"
"Frage 43: Welches Hautanhangsgebilde ist für die Wärmeregulierung zuständig?","Antwort 43.1: Haarfollikel","Antwort 43.2: Schweißdrüsen","Antwort 43.3: Talgdrüsen","Antwort 43.4: Nägel"
"Frage 44: Was ist eine primäre Funktion der Epidermis?","Antwort 44.1: Speicherung von Fett","Antwort 44.2: Schutz vor äußeren Einflüssen","Antwort 44.3: Wärmeregulierung","Antwort 44.4: Sinneswahrnehmung"
"Frage 45: Welches Hautanhangsgebilde hilft bei der Reduzierung von Wasserabgabe durch die Haut?","Antwort 45.1: Haarfollikel","Antwort 45.2: Schweißdrüsen","Antwort 45.3: Talgdrüsen","Antwort 45.4: Nägel"
"Frage 46: Welche Funktion ist nicht direkt eine Funktion der Haut?","Antwort 46.1: Produktion von Vitamin D","Antwort 46.2: Sinneswahrnehmung","Antwort 46.3: Blutbildung","Antwort 46.4: Schutz vor mechanischen Schäden"
"Frage 47: Welches Hormon wird nicht von der Hypophyse produziert?","Antwort 47.1: Wachstumshormon","Antwort 47.2: Prolaktin","Antwort 47.3: Insulin","Antwort 47.4: glandotrope Hormone"
"Frage 48: Was ist eine Hauptfunktion der Schilddrüse?","Antwort 48.1: Regulierung des Stoffwechsels","Antwort 48.2: Kontrolle des Blutzuckerspiegels","Antwort 48.3: Regulation der Körpertemperatur","Antwort 48.4: Förderung der Muskelentwicklung"
"Frage 49: Was kennzeichnet eine Schilddrüsenunterfunktion?","Antwort 49.1: Tachykardie (Beschleunigung der Schlagfrequenz des Herzens) ","Antwort 49.2: Verminderte Spannkraft der Muskeln und Gewichtszunahme","Antwort 49.3: Gewichtsabnahme","Antwort 49.4: Verringerte Kälteempfindlichkeit"
"Frage 50: Wofür sind die Nebennieren bekannt?","Antwort 50.1: Produktion von Insulin","Antwort 50.2: Produktion von Adrenalin und Noradrenalin","Antwort 50.3: Regulierung des Kalziumspiegels im Blut","Antwort 50.4: Förderung der Verdauung"
"Frage 51: Welches Hormon wird von der endokrinen Bauchspeicheldrüse produziert?","Antwort 51.1: Insulin","Antwort 51.2: Thyroxin","Antwort 51.3: Cortisol","Antwort 51.4: Östrogen"
"Frage 52: Welche Drüse wird als <<Hirnanhangsdrüse>> bezeichnet?","Antwort 52.1: Schilddrüse","Antwort 52.2: Nebenniere","Antwort 52.3: Hypophyse","Antwort 52.4: Thymus"
"Frage 53: Welche Aussage über die Schilddrüsenüberfunktion ist korrekt?","Antwort 53.1: Führt oft zu Gewichtsverlust und Schlaflosigkeit","Antwort 53.2: Verursacht eine Verlangsamung des Stoffwechsels","Antwort 53.3: Senkt die Körpertemperatur","Antwort 53.4: Führt zu einer verminderten Herzfrequenz"
"Frage 54: Welche Rolle spielen die Nebennieren bei Stress?","Antwort 54.1: Senkung des Blutdrucks","Antwort 54.2: Verringerung der Herzfrequenz","Antwort 54.3: Freisetzung von Adrenalin und Noradrenalin","Antwort 54.4: Erhöhung des Blutzuckerspiegels"
"Frage 55: Was ist eine direkte Folge von Insulinmangel?","Antwort 55.1: Erhöhter Blutdruck","Antwort 55.2: Erhöhter Blutzuckerspiegel","Antwort 55.3: Verringerte Körpergröße","Antwort 55.4: Zunahme der Muskelmasse"
"Frage 56: Alle Knochen des Körpers bilden zusammen das Skelett. Der Körpergliederung entsprechend wird es in","Antwort 56.1: Rumpfskelett, Skelett des Schultergürtels und Beckengürtel eingeteilt.","Antwort 56.2: Kopfskelett, Handskelett und Fußskelett eingeteilt.","Antwort 56.3: Kopfskelett, Beckengürtel und Fußskelett eingeteilt.","Antwort 56.4: Kopfskelett, Rumpfskelett und Gliedmaßenskelett eingeteilt."
"Frage 57: Welche der genannten ist keine Knochenform?","Antwort 57.1: Langknochen bzw. Röhrenknochen","Antwort 57.2: Kurzknochen","Antwort 57.3: Platte Knochen","Antwort 57.4: Kompakte Knochen"
"Frage 58: Was charakterisiert eine feste Knochenverbindung?","Antwort 58.1: Hohe Beweglichkeit","Antwort 58.2: Geringe bis keine Beweglichkeit","Antwort 58.3: Elastische Verbindung","Antwort 58.4: Temporäre Verbindung"
"Frage 59: Welches ist keine Charakteristik oder Bestandteil von Gelenken?","Antwort 59.1: Knochennähte","Antwort 59.2: Sehr hohe Beweglichkeit","Antwort 59.3: Gelenkknorpel","Antwort 59.4: Gelenkbänder"
"Frage 60: Was ist eine Hauptfunktion der Skelettmuskulatur?","Antwort 60.1: Wärmeproduktion","Antwort 60.2: Hormonproduktion","Antwort 60.3: Bewegung","Antwort 60.4: Stoffwechselregulation"
"Frage 61: Was ist keine Eigenschaft der quergestreiften Muskulatur?","Antwort 61.1: Kurzgestreckte Zellen","Antwort 61.2: Reizbarkeit","Antwort 61.3: Zusammenziehbarkeit","Antwort 61.4: Dehnbarkeit"
"Frage 62: Welches Element ist ein Hauptbestandteil der chemischen Zusammensetzung von Knochen?","Antwort 62.1: Eisen","Antwort 62.2: Kalzium","Antwort 62.3: Kupfer","Antwort 62.4: Zink"
"Frage 63: Welche Art von Muskelgewebe findet man im Herzen?","Antwort 63.1: Flache Muskulatur","Antwort 63.2: Herzmuskulatur","Antwort 63.3: Quergestreifte Skelettmuskulatur","Antwort 63.4: Quergestreifte Muskulatur"
"Frage 64: Wie ist die Fortbewegung von Fischen an ihren Lebensraum angepasst?","Antwort 64.1: Durch den Besitz von Flügeln","Antwort 64.2: Durch lange, kräftige Beine","Antwort 64.3: Durch stromlinienförmige Körper und Flossen","Antwort 64.4: Durch das Vermögen, unterirdisch zu graben"
"Frage 65: Welche Wirbeltiergruppe ist speziell für das Leben im Wasser angepasst?","Antwort 65.1: Reptilien","Antwort 65.2: Fische","Antwort 65.3: Säugetiere","Antwort 65.4: Amphibien"
"Frage 66: Was kennzeichnet die Fortbewegung von Reptilien auf dem Festland?","Antwort 66.1: Kriechen oder Laufen auf vier Beinen ","Antwort 66.2: Schwingen durch Bäume","Antwort 66.3: Hüpfen","Antwort 66.4: Fliegen"
"Frage 67: Was ermöglicht Vögeln die Fortbewegung in der Luft?","Antwort 67.1: Schwimmhäute zwischen den Zehen","Antwort 67.2: Flügel und die Fähigkeit zu fliegen","Antwort 67.3: Schwere, dicke Knochen","Antwort 67.4: Lange Laufbeine"
"Frage 68: Welche Fortbewegungsart ist für Amphibien typisch?","Antwort 68.1: Fliegen","Antwort 68.2: Rollen ","Antwort 68.3: Kriechen","Antwort 68.4: Schwimmen und Laufen "
"Frage 69: Welches Merkmal unterstützt die Fortbewegung von Säugetieren in verschiedenen Umgebungen?","Antwort 69.1: Diverse Gliedmaßenanpassungen für Laufen, Schwimmen oder Fliegen","Antwort 69.2: Flossen für das Schwimmen","Antwort 69.3: Flügel für das Fliegen","Antwort 69.4: Kiemen für das Atmen unter Wasser"
"Frage 70: Wie interagieren das Nervensystem und das endokrine System miteinander?","Antwort 70.1: Das Nervensystem produziert Hormone, die vom endokrinen System verteilt werden.","Antwort 70.2: Das endokrine System kontrolliert direkt die neuronale Aktivität.","Antwort 70.3: Das Nervensystem reguliert die Hormonausschüttung des endokrinen Systems.","Antwort 70.4: Das endokrine System generiert elektrische Impulse, die vom Nervensystem verwendet werden."
"Frage 71: Welche Rolle spielt das Nervensystem bei der Funktion der Sinnesorgane?","Antwort 71.1: Es ermöglicht die Hormonausschüttung in Reaktion auf Sinneswahrnehmungen.","Antwort 71.2: Es verarbeitet und interpretiert die von den Sinnesorganen aufgenommenen Signale.","Antwort 71.3: Es hat keinen direkten Einfluss auf die Sinnesorgane.","Antwort 71.4: Es versorgt die Sinnesorgane mit Blut."
"Frage 72: Wie beeinflusst das endokrine System die Sinneswahrnehmung?","Antwort 72.1: Durch direkte Steuerung der Sinneszellenaktivität.","Antwort 72.2: Indem es die Sensibilität der Sinnesorgane durch Hormone moduliert.","Antwort 72.3: Durch Änderung der Form der Sinnesorgane.","Antwort 72.4: Durch Erzeugung neuer Sinneszellen."
"Frage 73: Inwiefern beeinflusst das Nervensystem das Bewegungssystem?","Antwort 73.1: Es bildet die strukturelle Basis der Muskeln.","Antwort 73.2: Es steuert die Muskelkontraktion und -entspannung.","Antwort 73.3: Es versorgt die Muskeln mit Nährstoffen.","Antwort 73.4: Es produziert Muskelgewebe."
"Frage 74: Welche Funktion hat das endokrine System im Kontext des Bewegungssystems?","Antwort 74.1: Es liefert Sauerstoff an die Muskeln.","Antwort 74.2: Es kontrolliert die Muskelkontraktion direkt.","Antwort 74.3: Es generiert elektrische Impulse für Muskelbewegungen.","Antwort 74.4: Es beeinflusst Muskelwachstum und -entwicklung durch Hormone."
"Frage 75: Was ist eine effektive Hygienemaßnahme zur Vorbeugung von Krankheiten?","Antwort 75.1: Häufiges Händewaschen ","Antwort 75.2: Regelmäßiger Konsum von Fast Food","Antwort 75.3: Vermeidung von körperlicher Bewegung","Antwort 75.4: Seltener Wechsel von Bettwäsche"
"Frage 76: Welcher Faktor trägt nicht zur Hygiene des Nervensystems bei?","Antwort 76.1: Ausreichender Schlaf","Antwort 76.2: Vermeidung von übermäßigem Alkoholkonsum","Antwort 76.3: Regelmäßiges Gehirntraining","Antwort 76.4: Lang andauernder Stress "
"Frage 77: Was ist ein Hauptübertragungsweg für Meningitis?","Antwort 77.1: Tröpfcheninfektion ","Antwort 77.2: Ungewaschene Lebensmittel","Antwort 77.3: Hautkontakt","Antwort 77.4: Sonnenlicht"
"Frage 78: Was ist ein charakteristisches Symptom der Polyomyelitis?","Antwort 78.1: Hautausschlag","Antwort 78.2: Starke Kopfschmerzen","Antwort 78.3: Lähmungserscheinungen","Antwort 78.4: Erhöhte Temperatur"
"Frage 79: Welche Maßnahme gehört nicht zur Hygiene der Augen?","Antwort 79.1: Regelmäßiges Tragen von Sonnenbrillen bei starker Sonneneinstrahlung","Antwort 79.2: Vermeidung von direktem Augenkontakt mit Wasser und Seife","Antwort 79.3: Vermeidung von Reiben der Augen mit ungewaschenen Händen","Antwort 79.4: Verwendung von Augentropfen ohne ärztliche Empfehlung"
"Frage 80: Wie kann die Hygiene der Ohren gefördert werden?","Antwort 80.1: Durch regelmäßiges Reinigen des Ohrinneren mit Wattestäbchen","Antwort 80.2: Vermeidung von Wattestäbchen im Gehörgang","Antwort 80.3: Häufiges Tragen von In-Ear-Kopfhörern","Antwort 80.4: Ignorieren von Ohrenschmalz"
"Frage 81: Welcher der folgenden Punkte ist kein Teil der Nasenhygiene?","Antwort 81.1: Regelmäßige Reinigung der Naseneingänge","Antwort 81.2: Verwendung aggressiver Nasensprays ohne ärztliche Empfehlung","Antwort 81.3: Vermeidung von stark staubigen Umgebungen","Antwort 81.4: Feuchthalten der Nasenschleimhaut"
"Frage 82: Was unterstützt die Hygiene der Zunge?","Antwort 82.1: Regelmäßiges Zungenbürsten oder -schaben","Antwort 82.2: Konsum von extrem heißen Speisen und Getränken","Antwort 82.3: Anwendung ätzender Mundspülungen","Antwort 82.4: Ignorieren von Belägen "
"Frage 83: Welche Praxis ist für die Haut unhygienisch?","Antwort 83.1: Tragen atmungsaktiver Kleidung","Antwort 83.2: Regelmäßiges Auftragen von Feuchtigkeitscreme","Antwort 83.3: Übermäßiges Sonnenbaden ohne Sonnenschutz","Antwort 83.4: Duschen nach intensivem Sport "
"Frage 84: Was beschreibt einen Verbrennungsgrad, der mit Blasenbildung einhergeht?","Antwort 84.1: Erstgradige Verbrennung","Antwort 84.2: Zweitgradige Verbrennung","Antwort 84.3: Drittgradige Verbrennung","Antwort 84.4: Viertgradige Verbrennung "
"Frage 85: Was ist ein wichtiger Aspekt der Hygiene des Bewegungssystems?","Antwort 85.1: Regelmäßige, angepasste körperliche Aktivität","Antwort 85.2: Vermeidung jeglicher körperlicher Belastung","Antwort 85.3: Konsum von Schmerzmitteln vor dem Sport","Antwort 85.4: Tragen von engen und einschränkenden Kleidungsstücken während des Trainings"
"Frage 86: Was trägt zur Entstehung von Muskelkater bei?","Antwort 86.1: Dehydration","Antwort 86.2: Übermäßige Kalorienzufuhr","Antwort 86.3: Mikrotraumata in den Muskelfasern","Antwort 86.4: Mangel an Vitamin C"
"Frage 87: Was ist eine häufige Erste-Hilfe-Maßnahme bei Verstauchungen?","Antwort 87.1: Anwendung von Wärme sofort nach der Verletzung","Antwort 87.2: Kühlung und Hochlagern des betroffenen Bereichs","Antwort 87.3: Intensive Bewegung zur Förderung der Heilung","Antwort 87.4: Frühe Belastung zur Stärkung des Gewebes"
"Frage 88: Wie unterscheiden sich Verrenkungen von Verstauchungen?","Antwort 88.1: Verrenkungen betreffen nur Muskeln, nicht Gelenke","Antwort 88.2: Verrenkungen heilen schneller als Verstauchungen","Antwort 88.3: Verrenkungen sind weniger schmerzhaft als Verstauchungen","Antwort 88.4: Verrenkungen beinhalten die Verschiebung von Knochen aus ihrem Gelenk"
"Frage 89: Was ist ein Indikator für eine Fraktur?","Antwort 89.1: Unnatürliche Beweglichkeit oder Deformität ","Antwort 89.2: Ein leichtes Kribbeln im betroffenen Bereich","Antwort 89.3: Sofortige Schmerzlinderung nach dem Trauma","Antwort 89.4: Eine blaue Verfärbung, die innerhalb weniger Minuten verschwindet"
"Frage 90: Welche Verformung der Wirbelsäule ist durch eine seitliche Krümmung charakterisiert?","Antwort 90.1: Kyphose","Antwort 90.2: Lordose","Antwort 90.3: Skoliose","Antwort 90.4: Osteoporose"
"Frage 91: Was ist ein Merkmal der ungeschlechtlichen Fortpflanzung bei Pflanzen?","Antwort 91.1: Erfordert die Befruchtung durch Pollen","Antwort 91.2: Kann durch Teile wie Stolonen oder Rhizome erfolgen","Antwort 91.3: Führt zu genetisch diversen Nachkommen","Antwort 91.4: Es müssen sich verschiedene Zellen desselben Individuums daran beteiligen"
"Frage 92: Welcher Teil gehört nicht zum Blütenaufbau einer bedecktsamigen Pflanze?","Antwort 92.1: Kelchblätter","Antwort 92.2: Rhizom","Antwort 92.3: Kronblätter","Antwort 92.4: Staubblätter"
"Frage 93: Welche Funktion hat die Blüte bei bedecktsamigen Pflanzen hauptsächlich?","Antwort 93.1: Photosynthese","Antwort 93.2: Fortpflanzung durch die Produktion von Samen","Antwort 93.3: Speicherung von Nährstoffen","Antwort 93.4: Schutz vor Herbivoren"
"Frage 94: Was kennzeichnet typischerweise die Keimung von Samen?","Antwort 94.1: Ausbreitung der Wurzel zur Wasseraufnahme","Antwort 94.2: Unmittelbare Blütenbildung","Antwort 94.3: Direkte Entwicklung in eine Frucht","Antwort 94.4: Bildung von Pollen"
"Frage 95: Welcher Prozess beschreibt die Entwicklung einer Blüte zur Frucht?","Antwort 95.1: Pollination","Antwort 95.2: Photosynthese","Antwort 95.3: Befruchtung und anschließende Fruchtbildung","Antwort 95.4: Transpiration"
"Frage 96: Was ist ein charakteristisches Merkmal der Pubertät?","Antwort 96.1: Entwicklung sekundärer Geschlechtsmerkmale","Antwort 96.2: Abnahme der Wachstumsgeschwindigkeit","Antwort 96.3: Stabilisierung hormoneller Niveaus","Antwort 96.4: Rückgang der körperlichen Aktivität"
"Frage 97: Was gehört zum Fortpflanzungssystem des Menschen?","Antwort 97.1: Bauchspeicheldrüse","Antwort 97.2: Gallenblase","Antwort 97.3: Eierstöcke bei Frauen","Antwort 97.4: Nebenschilddrüse"
"Frage 98: Was passiert während der Ovulation im weiblichen Menstruationszyklus?","Antwort 98.1: Ein Ei wird aus dem Eierstock freigesetzt","Antwort 98.2: Ein reifes Ei wird aus dem Eierstock freigesetzt","Antwort 98.3: Die Gebärmutterschleimhaut wird abgebaut","Antwort 98.4: Progesteronspiegel sinken dramatisch"
"Frage 99: Welcher Schritt folgt unmittelbar auf die Befruchtung?","Antwort 99.1: Menstruationszyklus beginnt","Antwort 99.2: Einnistung des Embryos in der Gebärmutterschleimhaut","Antwort 99.3: Bildung der Plazenta","Antwort 99.4: Beginn der Geburt"
"Frage 100: Welche der folgenden Verhütungsmethoden ist definitiv?","Antwort 100.1: Die Verwendung von Kondomen","Antwort 100.2: Orale Kontrazeptiva","Antwort 100.3: Intrauterine Geräte (IUDs)","Antwort 100.4: Sterilisation"